1	N	48
1	J	48
0	J	48
1	R	48
2	N	49
2	J	49
1	W	49
2	R	49
3	N	64
3	J	64
2	E	68
1	J	68
3	R	68
3	W	74
1	R	74
4	N	74
4	J	74
1	W	74
4	R	74
5	N	107
5	J	107
4	W	107
5	R	107
4	J	109
5	E	110
4	R	110
4	W	115
0	R	115
4	J	868
4	R	868
4	W	868
0	R	868
4	J	987
4	R	987
4	W	987
0	R	988
4	J	1016
4	R	1016
4	W	1016
0	R	1016
4	J	1122
4	R	1122
4	W	1122
0	R	1122
4	J	1350
4	R	1350
6	N	1352
6	J	1352
4	W	1353
6	R	1353
6	E	1358
4	J	1358
4	R	1358
7	N	1359
7	J	1359
4	W	1360
7	R	1360
4	J	1362
7	E	1362
4	R	1362
4	W	1363
0	R	1363
4	J	1452
4	R	1452
4	W	1452
0	R	1452
3	J	3073
3	R	3073
3	W	3073
0	R	3073
4	J	3679
4	R	3679
4	W	3679
0	R	3679
4	J	3786
4	R	3786
4	W	3786
0	R	3786
4	J	3884
4	R	3884
4	W	3884
0	R	3884
4	J	3960
4	R	3960
4	W	3960
0	R	3960
4	J	4109
4	R	4109
4	W	4110
0	R	4110
4	J	4196
4	R	4196
4	W	4196
0	R	4196
4	J	4438
4	R	4438
4	W	4439
0	R	4439
4	J	4564
4	R	4564
4	W	4564
0	R	4564
4	J	5157
4	R	5157
8	N	5159
8	J	5159
4	W	5160
8	R	5160
